"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
4281,3/31/2026 0:00:00,1900,"ATLANTIC REGIONAL",505,"Atlantic Federal Credit Union"
4524,3/31/2026 0:00:00,1987,"SOMERVILLE MUNICIPAL",379,"Somerville's Credit Union"
4584,3/31/2026 0:00:00,2013,"AUSTIN TELCO",613,"Austin Telco Retirement & Invest"
4714,3/31/2026 0:00:00,2057,"UNITED SOUTHEAST",1178,"USFCU"
4735,3/31/2026 0:00:00,2066,"FOURLEAF",1122,"FourLeaf Financial Group"
4792,3/31/2026 0:00:00,2083,"NET",494,"NET Credit Union"
4878,3/31/2026 0:00:00,2110,"PACIFIC N W",978,"pnwfcu"
4915,3/31/2026 0:00:00,2123,"AVENIR FINANCIAL",1137,"Avenir Financial"
4963,3/31/2026 0:00:00,2141,"DEPT OF LABOR",995,"Labor CU"
4963,3/31/2026 0:00:00,2141,"DEPT OF LABOR",1042,"Labor Credit Union"
5029,3/31/2026 0:00:00,2166,"RED RIVER EMPLOYEES",61,"Red River Credit Union"
5029,3/31/2026 0:00:00,2166,"RED RIVER EMPLOYEES",836,"Red River Federal Credit Union"
5029,3/31/2026 0:00:00,2166,"RED RIVER EMPLOYEES",980,"RRCU"
5116,3/31/2026 0:00:00,2194,"PORT CITY",1270,"Port City Credit Union"
5252,3/31/2026 0:00:00,2248,"SARATOGA'S COMMUNITY",1312,"Saratoga Federal, A Community Credit Union"
5286,3/31/2026 0:00:00,2265,"KELLOGG MIDWEST",1279,"Kellogg Credit Union"
5321,3/31/2026 0:00:00,2283,"CRIERS",1155,"Criers Federal Credit Union"
5380,3/31/2026 0:00:00,2313,"SPECTRA",571,"NRL Federal Credit Union"
5380,3/31/2026 0:00:00,2313,"SPECTRA",1169,"Spectra Credit Union"
5380,3/31/2026 0:00:00,2313,"SPECTRA",1170,"Spectra"
5487,3/31/2026 0:00:00,2371,"KAUAI",956,"Kauai Federal Credit Union"
5487,3/31/2026 0:00:00,2371,"KAUAI",1145,"Kalukalu at 1624"
5547,3/31/2026 0:00:00,2407,"SECURITY FIRST",616,"Security First Credit Union"
5571,3/31/2026 0:00:00,2422,"SIGNAL FINANCIAL",540,"SF Investment and Retirement Svc"
5571,3/31/2026 0:00:00,2422,"SIGNAL FINANCIAL",543,"Signal Financial FCU"
5582,3/31/2026 0:00:00,2426,"BANK FUND STAFF",375,"BFSFCU"
5582,3/31/2026 0:00:00,2426,"BANK FUND STAFF",734,"Bank-Fund Staff Federal Credit Union"
5582,3/31/2026 0:00:00,2426,"BANK FUND STAFF",1208,"BankFund"
5588,3/31/2026 0:00:00,2427,"UNITED NATIONS",287,"UNFCU"
5621,3/31/2026 0:00:00,2444,"AMERICAN HERITAGE",567,"American Heritage Credit Union"
5665,3/31/2026 0:00:00,2471,"CITY",1060,"Tu Ciudad Federal Credit Union"
5856,3/31/2026 0:00:00,2567,"RIVERFRONT",1030,"Riverfront"
5856,3/31/2026 0:00:00,2567,"RIVERFRONT",1031,"Riverfront FCU"
6070,3/31/2026 0:00:00,2680,"TRI STATE RAIL",1021,"Corry Area Schools Federal Credit Union"
6160,3/31/2026 0:00:00,2737,"SUN EAST",47,"Sun East Retirement and Investme"
6160,3/31/2026 0:00:00,2737,"SUN EAST",48,"Sun East Federal Credit Union"
6160,3/31/2026 0:00:00,2737,"SUN EAST",49,"Sun East"
6187,3/31/2026 0:00:00,2752,"THE ONE",524,"The ONE Federal Credit Union"
6248,3/31/2026 0:00:00,2789,"SKYONE",1083,"SkyOne Federal Credit Union"
6339,3/31/2026 0:00:00,2837,"BATON ROUGE CITY PARISH EMP",151,"Baton Rouge City Parish EFCU"
6464,3/31/2026 0:00:00,2887,"PAHO/WHO",1050,"Bienestar Financial Partners"
